"Name","Description"
"Print Operators","Members can administer domain printers"
"Pre-Windows 2000 Compatible Access","A backward compatibility group which allows read access on all users and groups in the domain"
"RAS and IAS Servers","Servers in this group can access remote access properties of users"
"RDS Management Servers","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group."
"RDS Endpoint Servers","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group."
"Performance Monitor Users","Members of this group can access performance counter data locally and remotely"
"IIS_IUSRS","Built-in group used by Internet Information Services."
"Hyper-V Administrators","Members of this group have complete and unrestricted access to all features of Hyper-V."
"Incoming Forest Trust Builders","Members of this group can create incoming, one-way trusts to this forest"
"Performance Log Users","Members of this group may schedule logging of performance counters, enable trace providers, and collect event traces both locally and via remote access to this computer"
"Network Configuration Operators","Members in this group can have some administrative privileges to manage configuration of networking features"
"Terminal Server License Servers","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage"
"Server Operators","Members can administer domain servers"
"Users","Users are prevented from making accidental or intentional system-wide changes and can run most applications"
"WinRMRemoteWMIUsers__","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user."
"Windows Authorization Access Group","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects"
"Schema Admins","Designated administrators of the schema"
"Read-only Domain Controllers","Members of this group are Read-Only Domain Controllers in the domain"
"RDS Remote Access Servers","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group."
"Remote Desktop Users","Members in this group are granted the right to logon remotely"
"Replicator","Supports file replication in a domain"
"Remote Management Users","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user."
"Guests","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted"
"Cloneable Domain Controllers","Members of this group that are domain controllers may be cloned."
"Certificate Service DCOM Access","Members of this group are allowed to connect to Certification Authorities in the enterprise"
"Cryptographic Operators","Members are authorized to perform cryptographic operations."
"Distributed COM Users","Members are allowed to launch, activate and use Distributed COM objects on this machine."
"Denied RODC Password Replication Group","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain"
"Cert Publishers","Members of this group are permitted to publish certificates to the directory"
"Account Operators","Members can administer domain user and group accounts"
"Access Control Assistance Operators","Members of this group can remotely query authorization attributes and permissions for resources on this computer."
"Administrators","Administrators have complete and unrestricted access to the computer/domain"
"Backup Operators","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files"
"Allowed RODC Password Replication Group","Members in this group can have their passwords replicated to all read-only domain controllers in the domain"
"Enterprise Admins","Designated administrators of the enterprise"
"Domain Users","All domain users"
"Enterprise Read-only Domain Controllers","Members of this group are Read-Only Domain Controllers in the enterprise"
"Group Policy Creator Owners","Members in this group can modify group policy for the domain"
"Event Log Readers","Members of this group can read event logs from local machine"
"Domain Guests","All domain guests"
"DnsUpdateProxy","DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers)."
"DnsAdmins","DNS Administrators Group"
"Domain Admins","Designated administrators of the domain"
"Domain Controllers","All domain controllers in the domain"
"Domain Computers","All workstations and servers joined to the domain"
